material_id,chem_formula,R$_0$,B,Ta_chemenv,num_Ta_chemenvs,Ta_wyckoff,num_Ta_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ta_sites,num_CN_env,num_charge_states,TaX_coordn,TaO_coordn,mean_coordn_Ta-X,min_coordn_Ta-X,max_coordn_Ta-X,mean_coordn_Ta-O,min_coordn_Ta-O,max_coordn_Ta-O,mean_Ta_charge,min_Ta_charge,max_Ta_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TaO_BondL
mp-10347,CsCa2Ta3O10,1.93856465354588,0.4733682396075765,Octahedron,1,"1a, 2g",2,"[0.00018849880423300002, 0.635536969328517]",0.0,0.317862734066375,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cs-O-Ta,0.02355284802828,-3.318698403853449,2.1798,4,Tetragonal,4/mmm,P4/mmm,oxide,Cs,Ca,Ta,,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.010559068473608
mp-10390,Ta2O5,1.9513620708989048,0.4922568165380432,Octahedron,1,4f,1,[0.45145204844053505],0.0,0.45145204844053505,A2B5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Ta,0.0,-3.091520548523809,1.2267,2,Monoclinic,2/m,C2/c,oxide,,,Ta,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0034459840418646
mp-1040806,CaLaTaCrO6,2.0159762280888565,-0.0332976097767896,Octahedron,1,4a,1,[0.059880147437648],0.0,0.059880147437648,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Cr-La-O-Ta,0.03514532087499,-3.291822536483333,2.104599999999999,5,Monoclinic,m,Pc,oxide,,Ca,"Cr, Ta",,,,"C, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.00986853254303
mp-1042364,CaTaBiO5,1.9211944645808736,0.2154522781031244,Tetrahedron,1,8c,1,[0.068835201472699],0.0,0.068835201472699,ABCD5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Ca-O-Ta,0.027501507916666,-2.894228631229166,3.5935,4,Orthorhombic,mmm,Pbca,oxide,,Ca,Ta,,Bi,B,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8742125196532202
mp-1043970,CaLaTaFeO6,1.9918462258868657,0.0879400667582679,Octahedron,1,1a,1,"[0.032113994150049, 0.035803821341923]",0.0,0.033958907745986006,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA_U,Ca-Fe-La-O-Ta,0.0,-3.217203053733333,1.897199999999999,5,Monoclinic,m,Pc,oxide,,Ca,"Fe, Ta",,,,"C, O",F,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.007959997393338
mp-1045157,CaTa2Bi2O9,1.9109662069613864,0.5146148076256575,Octahedron,1,2i,1,[0.27539070555974404],0.0,0.27539070555974404,AB2C2D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Ca-O-Ta,0.041311468928558,-2.807123244261906,2.230499999999999,4,Triclinic,-1,P-1,oxide,,Ca,Ta,,Bi,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.9895538937685668
mp-1046089,Mg2Ta2CrO8,1.9307494541396752,0.5164180193154003,Octahedron,1,1a,1,"[0.9983087216701071, 1.077541068679132, 1.083649057314003, 0.997112760942033]",0.0,1.0391529021513188,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Cr-Mg-O-Ta,0.030898045854696,-3.062622829974358,2.196799999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Cr, Ta",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0386191634456785
mp-1046091,Mg2Ta2VO8,1.935437562378032,0.7107845142325974,Octahedron,1,8f,1,[1.041851709114925],0.0,1.041851709114925,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-O-Ta-V,0.005901366987183,-3.107296158243589,1.1544,4,Monoclinic,2/m,C2/c,oxide,,Mg,"V, Ta",,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0416735942806525
mp-1046092,Mg2Ta2CoO8,1.9367648517895528,0.7066870979111501,Octahedron,1,4f,1,"[1.039543632804216, 1.040489154911505]",0.0,1.0400163938578606,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Co-Mg-O-Ta,0.018159157820504,-2.95876374824359,2.2862,4,Monoclinic,-1,C2/c,oxide,,Mg,"Co, Ta",,,,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.0422011346329434
mp-1046101,Mg2Ta2MnO8,1.9348547667221137,0.733355286920107,Octahedron,1,4f,1,"[1.07606892690951, 1.078435224904263]",0.0,1.0772520759068867,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Mn-O-Ta,0.003224681346136,-3.096388229045977,2.731499999999999,4,Monoclinic,-1,C2/c,oxide,,Mg,"Mn, Ta",,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.043828108133298
