material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,S_wyckoff,num_S_chemenvs,CN,element,charge_range,is_single_charge
mp-1005754,SmHSO5,1.619039179878159,0.3274049883959996,[4.0],6.0,6.0,6.0,"Tetrahedron, Tricapped triangular prism (three square-face caps)",4e,2,4.0,S,0.0,True
mp-1019509,B2S2O9,1.5840887435877755,0.2671930047346723,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,S,0.0,True
mp-1019539,BaB2S3O13,1.6355114096379553,0.355422982673116,[4.0],6.0,6.0,6.0,Tetrahedron,"8d, 4c",1,4.0,S,0.0,True
mp-1019548,BaGe(S2O7)3,1.6244714591956566,0.3476374573962814,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,S,0.0,True
mp-1019557,BaS4O13,1.6651269767842336,0.4265292681178486,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,S,0.0,True
mp-1019575,Ca4Al6SO16,1.5738937804754252,0.2028525755474085,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1019581,CaS3O10,1.6625569917048328,0.3983948907787277,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1019604,Cs2B2S3O13,1.7221298083999357,0.55347849219824,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1019717,CsBS3O11,1.642054501134116,0.3501137893680776,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1019775,K2Ge(S2O7)3,1.6934553220380053,0.4656398885487774,[4.0],6.0,6.0,6.0,Tetrahedron,6g,1,4.0,S,0.0,True
mp-1019785,K2Si(S2O7)3,1.6531595993448531,0.414863203199818,[4.0],6.0,6.0,6.0,"Tetrahedron, Octahedron",4e,2,4.0,S,0.0,True
mp-1019789,K3B(SO4)3,1.760828040375186,0.6861893040399196,[4.0],6.0,6.0,6.0,Tetrahedron,"8f, 4d",1,4.0,S,0.0,True
mp-1019797,K5B(SO4)4,1.7856043606931884,0.7051454000414168,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,S,0.0,True
mp-1019804,KB(SO4)2,1.640937189183937,0.3602031947771082,[4.0],6.0,6.0,6.0,Tetrahedron,8f,1,4.0,S,0.0,True
mp-1019805,KB(S2O7)2,1.646863394488688,0.3521611514103967,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,S,0.0,True
mp-1020013,Li2S2O7,1.6669937854766776,0.4145347720529053,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,S,0.0,True
mp-1020018,Li5B(SO4)4,1.6581514649538835,0.4132322043396675,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1020060,LiB(S2O7)2,1.642805948325846,0.3480447482855086,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,S,0.0,True
mp-1020106,LiB(SO4)2,1.614336055355081,0.3076812542057674,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,S,0.0,True
mp-1020122,MgS2O7,1.633783665443418,0.3855066661056675,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,S,0.0,True
mp-1020145,Na2Ge(S2O7)3,1.650238497475237,0.3659787766953978,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,S,0.0,True
mp-1020159,Na2Si(S2O7)3,1.6480037288131115,0.3640979821138693,[4.0],6.0,6.0,6.0,"Tetrahedron, Octahedron",4a,2,4.0,S,0.0,True
mp-1020599,Na5B(SO4)4,1.7327141659778975,0.5828110671652084,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,S,0.0,True
mp-1020612,Sr2Si(S2O7)4,1.6567853120871563,0.3884619725799886,[4.0],6.0,6.0,6.0,"Tetrahedron, Octahedron, Tricapped triangular prism (three square-face caps)","4e, 2a",3,4.0,S,0.0,True
mp-1020655,NaB(S2O7)2,1.6473150403486652,0.3550502674415404,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,S,0.0,True
mp-1020658,NaB(SO4)2,1.6227567677691188,0.3233826730396996,[4.0],6.0,6.0,6.0,Tetrahedron,4g,1,4.0,S,0.0,True
mp-1020662,Rb4B2S4O17,1.77679508403459,0.68253992029314,[4.0],6.0,6.0,6.0,Tetrahedron,8e,1,4.0,S,0.0,True
mp-1020704,Sr2Ge(S2O7)4,1.6345029326381617,0.3740949276623281,[4.0],6.0,6.0,6.0,"Tetrahedron, Tricapped triangular prism (three square-face caps)",4e,2,4.0,S,0.0,True
mp-1020711,Rb2Si(S2O7)3,1.6941975931223876,0.4693212895688979,[4.0],6.0,6.0,6.0,"Tetrahedron, Octahedron","6g, 2c",2,4.0,S,0.0,True
mp-1020716,Rb3B(SO4)3,1.7729794724323404,0.7144145290974795,[4.0],6.0,6.0,6.0,Tetrahedron,"8f, 4d",1,4.0,S,0.0,True
